rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
16,salmonella outbreak uk,breakout,today,66,82,40,75,0,89,high,Breakout,0,30,0,salmonella outbreak,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
17,salmonella uk,breakout,today,66,80,43,75,0,88,high,Breakout,0,100,0,salmonella outbreak,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
18,class i salmonella egg recall,breakout,today,65,81,38,75,0,89,high,Breakout,0,94,0,food recall,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
19,fda class i egg recall,breakout,today,65,81,38,75,0,89,high,Breakout,0,45,0,food recall,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
20,henkel schwarzkopf mousse recall,breakout,today,65,81,38,75,0,89,high,Breakout,0,38,0,food recall,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
21,usda workforce reorganization impacts,breakout,today,65,81,38,75,0,89,high,Breakout,0,39,0,USDA recall,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
22,taylor farms jalapeño recall salmonella,emerging,this_week,65,82,37,75,0,89,high,'+1450%,0,42,-3,USDA recall,rising query,,Google Trends labels it +1450%; interest moved from 3 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
23,lunchmeat listeria contamination recall,breakout,today,64,80,37,75,0,88,high,Breakout,0,100,0,food recall,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
24,fda egg recall,breakout,today,63,78,36,75,0,87,high,Breakout,1,100,1,salmonella outbreak,rising query,,Google Trends labels it Breakout; interest moved from 0 to 1; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
25,listeria,emerging,this_week,63,76,40,75,0,86,high,'+950%,2,100,1,food contamination,rising query,,Google Trends labels it +950%; interest moved from 1 to 2; found through rising query,Build an angle this week and monitor the next 24-48 hours.
26,product recall,emerging,this_week,63,67,52,75,0,80,high,'+750%,25,100,18,USDA recall,rising query,,Google Trends labels it +750%; interest moved from 7 to 25; found through rising query,Build an angle this week and monitor the next 24-48 hours.
